Instance_ID	Group_ID
RISE446.SG	Germany_CordedWare.SG
ALT_3_d	Germany_CordedWare
ALT_4_d	Germany_CordedWare
I0115	Germany_EBA_Unetice
I0116	Germany_EBA_Unetice
I0117	Germany_EBA_Unetice
I0164	Germany_EBA_Unetice
I0803	Germany_EBA_Unetice
I0804	Germany_EBA_Unetice
I0047_published	Germany_EBA_Unetice
AED204.SG	Germany_EMedieval.SG
AEHIb.SG	Germany_EMedieval.SG
Alh10.SG	Germany_EMedieval.SG
Alh3a.SG	Germany_EMedieval.SG
BIM37b.SG	Germany_EMedieval.SG
NW54.SG	Germany_EMedieval.SG
STR228.SG	Germany_EMedieval.SG
STR248b.SG	Germany_EMedieval.SG
STR300b.SG	Germany_EMedieval.SG
STR328c.SG	Germany_EMedieval.SG
STR355c.SG	Germany_EMedieval.SG
STR360c.SG	Germany_EMedieval.SG
STR393b.SG	Germany_EMedieval.SG
STR480.SG	Germany_EMedieval.SG
STR486.SG	Germany_EMedieval.SG
STR502b.SG	Germany_EMedieval.SG
STR535.SG	Germany_EMedieval.SG
I0018	Germany_EN_LBK
I0025	Germany_EN_LBK
I0100	Germany_EN_LBK
I0795	Germany_EN_LBK
I2014	Germany_EN_LBK
I2022	Germany_EN_LBK
I0046_published	Germany_EN_LBK
I0057_published	Germany_EN_LBK
I1550_published	Germany_EN_LBK
I2008_published	Germany_EN_LBK
I2017_published	Germany_EN_LBK
I2030_published	Germany_EN_LBK
I2032_published	Germany_EN_LBK
I2038_published	Germany_EN_LBK
Stuttgart_published.DG	Germany_EN_LBK_Stuttgart.DG
Falkenstein	Germany_Falkenstein
HohleFels49_published_d	Germany_HohleFels49
I0099_published	Germany_LBA_Halberstadt
AMP_1_d	Germany_BellBeaker
HUGO_168_d	Germany_BellBeaker
HUGO_169Sk1_d	Germany_BellBeaker
HUGO_171_d	Germany_BellBeaker
HUGO_180Sk1_d	Germany_BellBeaker
HUGO_190_d	Germany_BellBeaker
UNTA58_68Sk1	Germany_BellBeaker
UNTA58_68Sk2_d	Germany_BellBeaker
