Instance_ID Group_ID
HGDP00754 Japanese
HGDP00791 Japanese
HGDP00764 Japanese
HGDP00790 Japanese
HGDP00767 Japanese
GeorgianJew1654 Jew_Georgian
GeorgianJew1594 Jew_Georgian
GeorgianJew1577 Jew_Georgian
GeorgianJew1607 Jew_Georgian
GeorgianJew1883 Jew_Georgian
GeorgianJew1671 Jew_Georgian
GeorgianJew1971 Jew_Georgian
IranianJew1143 Jew_Iranian
IranianJew1513 Jew_Iranian
IranianJew1409 Jew_Iranian
IranianJew1556 Jew_Iranian
IranianJew1159 Jew_Iranian
IranianJew1832 Jew_Iranian
IranianJew1132 Jew_Iranian
IranianJew1557 Jew_Iranian
IranianJew1845 Jew_Iranian
IraqiJew4241 Jew_Iraqi
IraqiJew1771 Jew_Iraqi
IraqiJew1430 Jew_Iraqi
IraqiJew1417 Jew_Iraqi
IraqiJew4061 Jew_Iraqi
IraqiJew4291 Jew_Iraqi
SephardiJewTurkey5033 Jew_Turkish
SephardiJewTurkey5075 Jew_Turkish
SephardiJewTurkey5877 Jew_Turkish
SephardiJewTurkey5832 Jew_Turkish
SephardiJewTurkey4953 Jew_Turkish
SephardiJewTurkey4950 Jew_Turkish
SephardiJewTurkey4955 Jew_Turkish
SephardiJewTurkey6077 Jew_Turkish
Kab-30 Kabardinian
Kab-16 Kabardinian
Kab-13 Kabardinian
Kab-18 Kabardinian
Kab-5 Kabardinian
Kab-26 Kabardinian
Kab-24 Kabardinian
Kab-10 Kabardinian
LPGH-139 Kabardinian
DAG06-830 Kaitag
DAG06-786 Kaitag
DAG06-261 Kaitag
DAG06-578 Kaitag
DAG06-262 Kaitag
DAG06-826 Kaitag
DAG06-260 Kaitag
DAG06-824 Kaitag
HGDP00307 Kalash
HGDP00290 Kalash
HGDP00302 Kalash
HGDP00311 Kalash
HGDP00319 Kalash
HGDP00323 Kalash
HGDP00313 Kalash
HGDP00286 Kalash
HGDP00285 Kalash
HGDP00315 Kalash
HGDP00288 Kalash
HGDP00281 Kalash
HGDP00330 Kalash
HGDP00298 Kalash
HGDP00328 Kalash
HGDP00333 Kalash
HGDP00277 Kalash
kalmyk67 Kalmyk
kalmyk9 Kalmyk
kalmyk14 Kalmyk
kalmyk55 Kalmyk
kalmyk11 Kalmyk
kalmyk44 Kalmyk
kalmyk39 Kalmyk
kalmyk32 Kalmyk
kalmyk13 Kalmyk
kalmyk22 Kalmyk
ABA-085 Karachai
ABA-056 Karachai
ABA-099 Karachai
ABA-035 Karachai
ABA-065 Karachai
ABA-078 Karachai
ABA-048 Karachai
ABA-052 Karachai
ABA-086 Karachai
ABA-091 Karachai
ABA-069 Karachai
ABA-100 Karachai
KAR-105 Karelian
KAR-092 Karelian
KAR-046 Karelian
KAR-009 Karelian
KAR-110 Karelian
KAR-034 Karelian
KAR-008 Karelian
KAR-157 Karelian
KAR-167 Karelian
KAR-030 Karelian
KAR-173 Karelian
KAR-165 Karelian
KAR-131 Karelian
KAR-111 Karelian
KAR-005 Karelian
KZH-1696 Kazakh
KZH-1750 Kazakh
KZH-1752 Kazakh
KZH-1629 Kazakh
KZH-1614 Kazakh
KZH-1724 Kazakh
KZH-1718 Kazakh
KZH-1680 Kazakh
KZH-1650 Kazakh
KZH-1708 Kazakh
KZH-1611 Kazakh
KZH-1730 Kazakh
KZH-1735 Kazakh
KZH-1722 Kazakh
KZH-1689 Kazakh
KZH-1593 Kazakh
KZH-1633 Kazakh
KZH-1725 Kazakh
Khs-011 Khakass
Khs-308 Khakass
Khs-303 Khakass
Khs-010 Khakass
Khs-425 Khakass
Khs-306 Khakass
Khs-006 Khakass
Khs-302 Khakass
Khs-119 Khakass
Khs-005 Khakass
Khs-301 Khakass
Khs-422 Khakass
Khs-309 Khakass
Khs-168 Khakass
Khs-190 Khakass
Khs-421 Khakass_Kachin
Khs-424 Khakass_Kachin
Khs-493 Khakass_Kachin
Khs-527 Khakass_Kachin
